"TITLE FR";"TITLE UK";"CHAPO FR";"CHAPO UK";"DESCRIPTIF FR";"DESCRIPTIF UK";"PHOTO";"FOLDERS UK"
"A propos";"About us";"Une sélection de mobilier design depuis 1994.";"A curated selection of design furniture since 1994.";"<p>Thelia est une boutique de mobilier contemporain qui réunit les plus belles signatures du design. Notre équipe sélectionne chaque pièce pour sa qualité, son confort et son style.</p><p>Notre ambition : rendre le design accessible et accompagner chaque client dans l'aménagement de son intérieur.</p>";"<p>Thelia is a contemporary furniture shop bringing together the finest names in design. Our team selects every piece for its quality, comfort and style.</p><p>Our goal is to make design accessible and to support every customer in furnishing their home.</p>";"";"Information"
"Conditions générales de vente";"Terms and Conditions";"Les conditions qui régissent vos achats.";"The terms governing your purchases.";"<p>Les présentes conditions générales de vente s'appliquent à toutes les commandes passées sur la boutique. Les prix sont indiqués en euros toutes taxes comprises.</p><p>La validation de la commande vaut acceptation des présentes conditions. Le client dispose d'un droit de rétractation de quatorze jours à compter de la réception.</p>";"<p>These terms and conditions apply to every order placed on the shop. Prices are shown in euros, all taxes included.</p><p>Confirming an order implies acceptance of these terms. Customers have a fourteen-day right of withdrawal from the date of delivery.</p>";"";"Information"
"Mentions légales";"Imprint";"Informations légales de l'éditeur.";"Legal information about the publisher.";"<p>Ce site est édité par Thelia, société au capital de 10 000 euros, dont le siège est situé 5 rue Rochon, 63000 Clermont-Ferrand.</p><p>Directeur de la publication : Thelia. Pour toute question, contactez notre service client.</p>";"<p>This website is published by Thelia, a company with share capital of 10,000 euros, registered at 5 rue Rochon, 63000 Clermont-Ferrand, France.</p><p>Publishing director: Thelia. For any question, contact our customer service.</p>";"";"Information"
"Livraison";"Delivery";"Modes et délais de livraison.";"Delivery methods and lead times.";"<p>Vos commandes sont expédiées sous deux à cinq jours ouvrés. La livraison est offerte dès 150 euros d'achat.</p><p>Un numéro de suivi vous est communiqué dès l'expédition de votre colis.</p>";"<p>Your orders ship within two to five working days. Delivery is free on purchases over 150 euros.</p><p>A tracking number is sent as soon as your parcel leaves our warehouse.</p>";"";"Information"
"Garantie";"Warranty";"Nos engagements après l'achat.";"Our commitments after the sale.";"<p>Tous nos produits bénéficient de la garantie légale de conformité de deux ans. Certains fabricants offrent une garantie étendue.</p><p>En cas de défaut, contactez notre service client : nous trouverons rapidement une solution.</p>";"<p>All our products come with the two-year legal warranty of conformity. Some manufacturers offer an extended warranty.</p><p>Should a defect occur, contact our customer service and we will find a quick solution.</p>";"";"Information"
"Nouveaux horaires d'ouverture";"New opening times";"Le showroom élargit ses horaires.";"The showroom extends its hours.";"<p>Bonne nouvelle : notre showroom est désormais ouvert du lundi au samedi, de 10h à 19h. Venez découvrir nos collections et profiter des conseils de notre équipe.</p>";"<p>Good news: our showroom is now open Monday to Saturday, 10am to 7pm. Come and explore our collections with the help of our team.</p>";"";"Blog"
"Nouveauté : Scarlett";"New product: Scarlett";"Découvrez notre nouvelle assise signature.";"Discover our new signature seat.";"<p>La chaise Scarlett rejoint notre catalogue. Sa coque enveloppante et son piètement fuselé en font une pièce aussi confortable qu'élégante, déclinée en six coloris.</p>";"<p>The Scarlett chair joins our catalogue. Its enveloping shell and tapered legs make it as comfortable as it is elegant, available in six colours.</p>";"";"Blog"
"Obtenez votre bon de réduction";"Claim your voucher";"Inscrivez-vous et économisez sur votre première commande.";"Sign up and save on your first order.";"<p>Abonnez-vous à notre newsletter et recevez un bon de réduction de dix pour cent valable sur votre première commande. Une attention pour bien démarrer ensemble.</p>";"<p>Subscribe to our newsletter and receive a ten percent voucher valid on your first order. A little something to start off on the right foot.</p>";"";"Blog"
"Nettoyage du tissu";"Cleaning Tissue";"Entretenir vos assises en tissu.";"Caring for your fabric seats.";"<p>Aspirez régulièrement vos assises en tissu pour retirer la poussière. En cas de tache, tamponnez sans frotter avec un linge humide et un peu de savon doux.</p>";"<p>Vacuum your fabric seats regularly to remove dust. For stains, blot gently without rubbing using a damp cloth and a little mild soap.</p>";"";"Advice"
"Entretien du bois";"Maintenance of wood";"Préserver la beauté du bois.";"Keeping wood beautiful.";"<p>Dépoussiérez le bois avec un chiffon doux et sec. Évitez l'eau en excès et les produits abrasifs. Une huile nourrissante appliquée une à deux fois par an ravive les essences naturelles.</p>";"<p>Dust wood with a soft, dry cloth. Avoid excess water and abrasive products. A nourishing oil applied once or twice a year revives natural timbers.</p>";"";"Advice"
"Entretien du cuir";"Maintenance of leather";"Garder un cuir souple et éclatant.";"Keeping leather supple and bright.";"<p>Nettoyez le cuir avec un chiffon légèrement humide, sans détergent. Appliquez un lait nourrissant spécifique deux fois par an pour préserver sa souplesse et sa couleur.</p>";"<p>Clean leather with a slightly damp cloth, without detergent. Apply a dedicated nourishing balm twice a year to preserve its suppleness and colour.</p>";"";"Advice"
